,movie,production_budget,worldwide_gross,studio,foreign_gross,year,popularity,vote_average,vote_count,runtime_minutes,genres
0,Pirates of the Caribbean: On Stranger Tides,"$410,600,000","$1,045,663,875",BV,804600000.0,2011,30.579,6.4,8571,136.0,"Action,Adventure,Fantasy"
1,Avengers: Age of Ultron,"$330,600,000","$1,403,013,963",BV,946400000.0,2015,44.383,7.3,13457,141.0,"Action,Adventure,Sci-Fi"
2,Avengers: Infinity War,"$300,000,000","$2,048,134,200",BV,1369.5,2018,80.773,8.3,13948,149.0,"Action,Adventure,Sci-Fi"
3,Justice League,"$300,000,000","$655,945,209",WB,428900000.0,2017,34.953,6.2,7510,120.0,"Action,Adventure,Fantasy"
5,Spectre,"$300,000,000","$879,620,923",Sony,680600000.0,2015,30.318,6.4,6719,148.0,"Action,Adventure,Thriller"
7,The Dark Knight Rises,"$275,000,000","$1,084,439,099",WB,636800000.0,2012,26.22,7.7,13933,164.0,"Action,Thriller"
8,Solo: A Star Wars Story,"$275,000,000","$393,151,347",BV,179200000.0,2018,29.502,6.6,3838,135.0,"Action,Adventure,Fantasy"
9,The Lone Ranger,"$275,000,000","$260,002,115",BV,171200000.0,2013,12.482,6.0,3789,150.0,"Action,Adventure,Western"
10,John Carter,"$275,000,000","$282,778,100",BV,211100000.0,2012,18.549,6.1,3338,132.0,"Action,Adventure,Sci-Fi"
11,Tangled,"$260,000,000","$586,477,240",BV,391000000.0,2010,21.511,7.5,6407,100.0,"Adventure,Animation,Comedy"
12,Captain America: Civil War,"$250,000,000","$1,140,069,413",BV,745200000.0,2016,39.137,7.4,14000,147.0,"Action,Adventure,Sci-Fi"
13,Batman v Superman: Dawn of Justice,"$250,000,000","$867,500,281",WB,543300000.0,2016,28.088,5.8,11991,151.0,"Action,Adventure,Fantasy"
14,The Hobbit: An Unexpected Journey,"$250,000,000","$1,017,003,568",WB (NL),718100000.0,2012,26.939,7.2,12076,169.0,"Adventure,Family,Fantasy"
15,The Hobbit: The Desolation of Smaug,"$250,000,000","$960,366,855",WB (NL),700000000.0,2013,21.275,7.6,7739,161.0,"Adventure,Fantasy"
16,The Hobbit: The Battle of the Five Armies,"$250,000,000","$945,577,621",WB (NL),700900000.0,2014,53.783,7.3,8392,144.0,"Adventure,Fantasy"
17,The Fate of the Furious,"$250,000,000","$1,234,846,267",Uni.,1010.0,2017,28.668,6.9,6335,136.0,"Action,Crime,Thriller"
18,Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000","$788,241,137",BV,622300000.0,2017,28.101,6.6,6931,129.0,"Action,Adventure,Fantasy"
19,Man of Steel,"$225,000,000","$667,999,518",WB,377000000.0,2013,27.667,6.5,9758,143.0,"Action,Adventure,Sci-Fi"
20,The Amazing Spider-Man,"$220,000,000","$757,890,267",Sony,495900000.0,2012,24.391,6.5,10411,136.0,"Action,Adventure,Sci-Fi"
21,Battleship,"$220,000,000","$313,477,717",Uni.,237600000.0,2012,21.742,5.6,3240,131.0,"Action,Adventure,Sci-Fi"
22,Transformers: The Last Knight,"$217,000,000","$602,893,340",Par.,475300000.0,2017,24.258,6.0,3255,154.0,"Action,Adventure,Sci-Fi"
23,Jurassic World,"$215,000,000","$1,648,854,864",Uni.,1019.4,2015,20.709,6.6,14056,124.0,"Action,Adventure,Sci-Fi"
24,Transformers: Age of Extinction,"$210,000,000","$1,104,039,076",Par.,858600000.0,2014,20.961,5.8,4805,165.0,"Action,Adventure,Sci-Fi"
25,Robin Hood,"$210,000,000","$322,459,006",Uni.,216400000.0,2010,15.444,6.3,2569,140.0,"Action,Adventure,Drama"
35,Black Panther,"$200,000,000","$1,348,258,224",BV,646900000.0,2018,2.058,5.1,11,134.0,"Action,Adventure,Sci-Fi"
37,Incredibles 2,"$200,000,000","$1,242,520,711",BV,634200000.0,2018,36.286,7.6,6354,118.0,"Action,Adventure,Animation"
38,Finding Dory,"$200,000,000","$1,021,215,193",BV,542300000.0,2016,15.393,7.0,7845,97.0,"Adventure,Animation,Comedy"
39,Toy Story 3,"$200,000,000","$1,068,879,522",BV,652000000.0,2010,24.445,7.7,8340,103.0,"Adventure,Animation,Comedy"
40,Skyfall,"$200,000,000","$1,110,526,981",Sony,804200000.0,2012,19.27,7.1,10441,143.0,"Action,Adventure,Thriller"
41,Monsters University,"$200,000,000","$743,588,329",BV,475700000.0,2013,20.33,7.0,6362,104.0,"Adventure,Animation,Comedy"
42,X-Men: Days of Future Past,"$200,000,000","$747,862,775",Fox,513900000.0,2014,41.867,7.5,10062,132.0,"Action,Adventure,Sci-Fi"
43,The Amazing Spider-Man 2,"$200,000,000","$708,996,336",Sony,506100000.0,2014,20.847,6.4,7220,142.0,"Action,Adventure,Sci-Fi"
44,Cars 2,"$200,000,000","$560,155,383",BV,370700000.0,2011,23.498,5.9,4058,106.0,"Adventure,Animation,Comedy"
45,Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000","$652,220,086",WB,494100000.0,2018,48.508,6.9,4870,134.0,"Adventure,Family,Fantasy"
46,Green Lantern,"$200,000,000","$219,535,492",WB,103300000.0,2011,17.257,5.1,4290,114.0,"Action,Adventure,Sci-Fi"
47,Transformers: Dark of the Moon,"$195,000,000","$1,123,790,543",P/DW,771400000.0,2011,5.339,6.1,4961,154.0,"Action,Adventure,Sci-Fi"
48,Jack the Giant Slayer,"$195,000,000","$197,687,603",WB (NL),132500000.0,2013,12.773,5.6,3403,114.0,"Adventure,Fantasy"
49,Star Trek Into Darkness,"$190,000,000","$467,381,584",Par.,238600000.0,2013,20.487,7.4,6182,132.0,"Action,Adventure,Sci-Fi"
50,World War Z,"$190,000,000","$531,514,650",Par.,337600000.0,2013,14.582,6.7,9132,116.0,"Action,Adventure,Horror"
51,Pacific Rim,"$190,000,000","$411,002,906",WB,309200000.0,2013,16.759,6.8,7632,131.0,"Action,Adventure,Sci-Fi"
52,The Good Dinosaur,"$187,500,000","$333,771,037",BV,209100000.0,2015,17.675,6.7,3135,93.0,"Adventure,Animation,Comedy"
54,Brave,"$185,000,000","$554,606,532",BV,303200000.0,2012,18.908,6.9,8116,93.0,"Adventure,Animation,Comedy"
56,Kong: Skull Island,"$185,000,000","$561,072,059",WB,398600000.0,2017,29.388,6.3,6054,118.0,"Action,Adventure,Fantasy"
57,Star Trek Beyond,"$185,000,000","$335,802,233",Par.,184600000.0,2016,19.142,6.7,4275,122.0,"Action,Adventure,Sci-Fi"
58,Blade Runner 2049,"$185,000,000","$259,357,408",WB,167200000.0,2017,48.571,7.4,6679,164.0,"Drama,Mystery,Sci-Fi"
60,Thor: Ragnarok,"$180,000,000","$846,980,024",BV,538900000.0,2017,43.45,7.5,11380,130.0,"Action,Adventure,Comedy"
62,Maleficent,"$180,000,000","$758,536,735",BV,517100000.0,2014,19.274,7.0,8143,97.0,"Action,Adventure,Family"
63,The Legend of Tarzan,"$180,000,000","$348,902,025",WB,230100000.0,2016,14.797,5.8,4102,110.0,"Action,Adventure,Drama"
64,Hugo,"$180,000,000","$180,047,784",Par.,111900000.0,2011,12.936,7.1,4124,126.0,"Adventure,Drama,Family"
66,Valerian and the City of a Thousand Planets,"$180,000,000","$215,098,356",STX,184700000.0,2017,24.003,6.6,4149,137.0,"Action,Adventure,Fantasy"
67,Jupiter Ascending,"$179,000,000","$181,982,519",WB,136600000.0,2015,24.058,5.3,4401,127.0,"Action,Adventure,Sci-Fi"
68,X-Men: Apocalypse,"$178,000,000","$542,537,546",Fox,388500000.0,2016,39.293,6.5,8348,144.0,"Action,Adventure,Sci-Fi"
69,The Meg,"$178,000,000","$529,530,715",WB,384800000.0,2018,31.397,5.9,2896,113.0,"Action,Horror,Sci-Fi"
70,Edge of Tomorrow,"$178,000,000","$370,541,256",WB,270300000.0,2014,19.753,7.6,8047,113.0,"Action,Sci-Fi"
71,Inside Out,"$175,000,000","$854,235,992",BV,501100000.0,2015,4.758,4.4,18,93.0,"Crime,Drama"
85,Spider-Man: Homecoming,"$175,000,000","$880,166,350",Sony,546000000.0,2017,46.775,7.4,11585,133.0,"Action,Adventure,Sci-Fi"
86,Suicide Squad,"$175,000,000","$746,059,887",WB,421700000.0,2016,16.53,5.9,13533,123.0,"Action,Adventure,Fantasy"
93,Cars 3,"$175,000,000","$383,541,369",BV,231000000.0,2017,18.427,6.7,2596,102.0,"Adventure,Animation,Comedy"
94,King Arthur: Legend of the Sword,"$175,000,000","$139,630,336",WB,109500000.0,2017,21.793,6.5,3305,126.0,"Action,Adventure,Drama"
95,47 Ronin,"$175,000,000","$151,716,815",Uni.,113400000.0,2013,25.049,6.0,2080,128.0,"Action,Adventure,Drama"
96,Jurassic World: Fallen Kingdom,"$170,000,000","$1,305,772,799",Uni.,891800000.0,2018,34.958,6.5,5995,128.0,"Action,Adventure,Sci-Fi"
97,Guardians of the Galaxy,"$170,000,000","$770,867,516",BV,440200000.0,2014,49.606,7.9,17958,121.0,"Action,Adventure,Comedy"
98,Iron Man 2,"$170,000,000","$621,156,389",Par.,311500000.0,2010,28.515,6.8,12368,124.0,"Action,Adventure,Sci-Fi"
99,Captain America: The Winter Soldier,"$170,000,000","$714,401,889",BV,454500000.0,2014,18.073,7.7,11034,136.0,"Action,Adventure,Sci-Fi"
100,Dawn of the Planet of the Apes,"$170,000,000","$710,644,566",Fox,502100000.0,2014,27.641,7.3,7080,130.0,"Action,Adventure,Drama"
101,Snow White and the Huntsman,"$170,000,000","$401,021,746",Uni.,241300000.0,2012,21.233,5.9,5258,127.0,"Action,Adventure,Drama"
102,Tomorrowland,"$170,000,000","$206,627,518",BV,115700000.0,2015,20.136,6.2,4610,130.0,"Action,Adventure,Family"
104,Alice Through the Looking Glass,"$170,000,000","$276,928,112",BV,222400000.0,2016,16.642,6.5,3803,113.0,"Adventure,Family,Fantasy"
105,Shrek Forever After,"$165,000,000","$756,244,673",P/DW,513900000.0,2010,15.041,6.1,3843,93.0,"Adventure,Animation,Comedy"
106,Doctor Strange,"$165,000,000","$676,404,566",BV,445100000.0,2016,33.035,7.3,12582,115.0,"Action,Adventure,Fantasy"
108,Big Hero 6,"$165,000,000","$652,127,828",BV,435300000.0,2014,36.92,7.8,10176,102.0,"Action,Adventure,Animation"
110,How to Train Your Dragon,"$165,000,000","$494,870,992",P/DW,277300000.0,2010,28.734,7.7,7610,98.0,"Action,Adventure,Animation"
111,Wreck-It Ralph,"$165,000,000","$496,511,521",BV,281800000.0,2012,22.967,7.3,7780,101.0,"Adventure,Animation,Comedy"
112,Interstellar,"$165,000,000","$666,379,375",Par.,489400000.0,2014,28.44,8.2,18597,169.0,"Adventure,Drama,Sci-Fi"
113,Independence Day: Resurgence,"$165,000,000","$384,169,424",Fox,286500000.0,2016,15.732,5.1,3911,120.0,"Action,Adventure,Sci-Fi"
114,Aquaman,"$160,000,000","$1,146,894,640",WB,812700000.0,2018,38.102,6.8,6155,143.0,"Action,Adventure,Fantasy"
115,Inception,"$160,000,000","$835,524,642",WB,535700000.0,2010,27.92,8.3,22186,148.0,"Action,Adventure,Sci-Fi"
116,The Hunger Games: Mockingjay - Part 2,"$160,000,000","$648,986,787",LGF,371700000.0,2015,19.487,6.8,7609,137.0,"Action,Adventure,Sci-Fi"
118,The Sorcerer's Apprentice,"$160,000,000","$217,986,320",BV,152100000.0,2010,14.463,5.9,2879,109.0,"Action,Adventure,Family"
119,Warcraft,"$160,000,000","$425,522,281",Uni.,386300000.0,2016,21.464,6.3,4071,123.0,"Action,Adventure,Fantasy"
120,Deepwater Horizon,"$156,000,000","$122,603,824",LG/S,60400000.0,2016,13.685,6.7,2606,107.0,"Action,Drama,History"
122,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$155,000,000","$418,186,950",Fox,311300000.0,2010,17.382,6.3,3196,113.0,"Adventure,Family,Fantasy"
123,War for the Planet of the Apes,"$152,000,000","$489,592,267",Fox,343800000.0,2017,23.445,7.0,5235,140.0,"Action,Adventure,Drama"
124,Wonder Woman,"$150,000,000","$821,133,378",WB,409300000.0,2017,2.841,5.9,34,141.0,"Action,Adventure,Fantasy"
130,Frozen,"$150,000,000","$1,272,469,910",BV,875700000.0,2013,9.678,5.8,987,93.0,"Adventure,Drama,Sport"
134,Zootopia,"$150,000,000","$1,019,429,616",BV,682500000.0,2016,27.549,7.7,9977,108.0,"Adventure,Animation,Comedy"
135,Moana,"$150,000,000","$637,517,365",BV,394600000.0,2016,1.96,6.5,16,107.0,"Adventure,Animation,Comedy"
138,Thor: The Dark World,"$150,000,000","$644,602,516",BV,438200000.0,2013,31.014,6.7,10171,112.0,"Action,Adventure,Fantasy"
139,Dunkirk,"$150,000,000","$499,837,368",WB,337200000.0,2017,24.358,7.4,9156,106.0,"Action,Drama,History"
140,Thor,"$150,000,000","$449,326,618",Par.,268300000.0,2011,38.068,6.7,12764,115.0,"Action,Adventure,Fantasy"
141,Kung Fu Panda 2,"$150,000,000","$664,837,547",P/DW,500400000.0,2011,17.363,6.7,3628,90.0,"Action,Adventure,Animation"
142,Mad Max: Fury Road,"$150,000,000","$370,098,020",WB,224800000.0,2015,28.099,7.4,14454,120.0,"Action,Adventure,Sci-Fi"
143,Ready Player One,"$150,000,000","$579,290,136",WB,445200000.0,2018,30.029,7.6,7021,140.0,"Action,Adventure,Sci-Fi"
144,The Last Airbender,"$150,000,000","$319,713,881",Par.,187900000.0,2010,16.595,4.6,2143,103.0,"Action,Adventure,Family"
145,Wrath of the Titans,"$150,000,000","$305,270,083",WB,221600000.0,2012,14.991,5.6,2442,99.0,"Action,Adventure,Fantasy"
146,Dark Shadows,"$150,000,000","$238,202,668",WB,165800000.0,2012,15.75,5.9,4197,113.0,"Comedy,Fantasy,Horror"
147,White House Down,"$150,000,000","$205,440,387",Sony,132300000.0,2013,13.026,6.4,2817,131.0,"Action,Drama,Thriller"
148,The Wolfman,"$150,000,000","$142,634,358",Uni.,77800000.0,2010,14.03,5.7,1009,103.0,"Drama,Fantasy,Horror"
149,The Great Wall,"$150,000,000","$334,486,852",Uni.,289400000.0,2017,19.144,5.8,2775,103.0,"Action,Adventure,Fantasy"
151,Pan,"$150,000,000","$151,525,973",WB,93300000.0,2015,13.054,5.9,1701,111.0,"Adventure,Comedy,Family"
152,Mars Needs Moms,"$150,000,000","$39,549,758",BV,17600000.0,2011,8.852,5.7,299,88.0,"Adventure,Animation,Family"
153,Madagascar 3: Europe's Most Wanted,"$145,000,000","$746,921,271",P/DW,530500000.0,2012,18.705,6.5,3380,93.0,"Adventure,Animation,Comedy"
